No.,Pokemon,Type 1,Type 2 ,HP,ATK,DEF,SPA,SPD,SPE,BST,ABILITY 1,ABILITY 2,HIDDEN ABILITY,can mega,Pokemon
27,Sandshrew,Ground,na,50,75,85,20,30,40,300,Sand Veil,na,Sand Rush,na,Sandshrew
27,Sandshrew-Alola,Ice,Steel,50,75,90,10,35,40,300,Snow Cloak,na,Slush Rush,na,Sandshrew-Alola
28,Sandslash,Ground,na,75,100,110,45,55,65,450,Sand Veil,na,Sand Rush,na,Sandslash
28,Sandslash-Alola,Ice,Steel,75,100,120,25,65,65,450,Snow Cloak,na,Slush Rush,na,Sandslash-Alola
29,Nidoran-F,Poison,na,55,47,52,40,40,41,275,Poison Point,Rivalry,Hustle,na,Nidoran-F
30,Nidorina,Poison,na,70,62,67,55,55,56,365,Poison Point,Rivalry,Hustle,na,Nidorina
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,505,Poison Point,Rivalry,Sheer Force,na,Nidoqueen
32,Nidoran-M,Poison,na,46,57,40,40,40,50,273,Poison Point,Rivalry,Hustle,na,Nidoran-M
33,Nidorino,Poison,na,61,72,57,55,55,65,365,Poison Point,Rivalry,Hustle,na,Nidorino
34,Nidoking,Poison,Ground,81,102,77,85,75,85,505,Poison Point,Rivalry,Sheer Force,na,Nidoking
35,Clefairy,Fairy,na,70,45,48,60,65,35,323,Cute Charm,Magic Guard,Friend Guard,na,Clefairy
36,Clefable,Fairy,na,95,70,73,95,90,60,483,Cute Charm,Magic Guard,Unaware,na,Clefable
37,Vulpix,Fire,na,38,41,40,50,65,65,299,Flash Fire,na,Drought,na,Vulpix
37,Vulpix-Alola,Ice,na,38,41,40,50,65,65,299,Snow Cloak,na,Snow Warning,na,Vulpix-Alola
38,Ninetales,Fire,na,73,76,75,81,100,100,505,Flash Fire,na,Drought,na,Ninetales
38,Ninetales-Alola,Ice,Fairy,73,67,75,81,100,109,505,Snow Cloak,na,Snow Warning,na,Ninetales-Alola
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,270,Cute Charm,Competitive,Friend Guard,na,Jigglypuff
40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,435,Cute Charm,Competitive,Frisk,na,Wigglytuff
41,Zubat,Poison,Flying,40,45,35,30,40,55,245,Inner Focus,na,Infiltrator,na,Zubat
42,Golbat,Poison,Flying,75,80,70,65,75,90,455,Inner Focus,na,Infiltrator,na,Golbat
43,Oddish,Grass,Poison,45,50,55,75,65,30,320,Chlorophyll,na,Run Away,na,Oddish
44,Gloom,Grass,Poison,60,65,70,85,75,40,395,Chlorophyll,na,Stench,na,Gloom
45,Vileplume,Grass,Poison,75,80,85,110,90,50,490,Chlorophyll,na,Effect Spore,na,Vileplume
46,Paras,Bug,Grass,35,70,55,45,55,25,285,Effect Spore,Dry Skin,Damp,na,Paras
47,Parasect,Bug,Grass,60,95,80,60,80,30,405,Effect Spore,Dry Skin,Damp,na,Parasect
48,Venonat,Bug,Poison,60,55,50,40,55,45,305,Compound Eyes,Tinted Lens,Run Away,na,Venonat
49,Venomoth,Bug,Poison,70,65,60,90,75,90,450,Shield Dust,Tinted Lens,Wonder Skin,na,Venomoth
50,Diglett,Ground,na,10,55,25,35,45,95,265,Sand Veil,Arena Trap,Sand Force,na,Diglett
50,Diglett-Alola,Ground,Steel,10,55,30,35,45,90,265,Sand Veil,Tangling Hair,Sand Force,na,Diglett-Alola
51,Dugtrio,Ground,na,35,100,50,50,70,120,425,Sand Veil,Arena Trap,Sand Force,na,Dugtrio
51,Dugtrio-Alola,Ground,Steel,35,100,60,50,70,110,425,Sand Veil,Tangling Hair,Sand Force,na,Dugtrio-Alola
52,Meowth,Normal,na,40,45,35,40,40,90,290,Pickup,Technician,Unnerve,na,Meowth
52,Meowth-Alola,Dark,na,40,35,35,50,40,90,290,Pickup,Technician,Rattled,na,Meowth-Alola
52,Meowth-Galar,Steel,na,50,65,55,40,40,40,290,Pickup,Tough Claws,Unnerve,na,Meowth-Galar
52,Meowth-Gmax,Normal,na,40,45,35,40,40,90,290,Pickup,Technician,Unnerve,na,Meowth-Gmax
53,Persian,Normal,na,65,70,60,65,65,115,440,Limber,Technician,Unnerve,na,Persian
53,Persian-Alola,Dark,na,65,60,60,75,65,115,440,Fur Coat,Technician,Rattled,na,Persian-Alola
54,Psyduck,Water,na,50,52,48,65,50,55,320,Damp,Cloud Nine,Swift Swim,na,Psyduck
55,Golduck,Water,na,80,82,78,95,80,85,500,Damp,Cloud Nine,Swift Swim,na,Golduck
56,Mankey,Fighting,na,40,80,35,35,45,70,305,Vital Spirit,Anger Point,Defiant,na,Mankey
57,Primeape,Fighting,na,65,105,60,60,70,95,455,Vital Spirit,Anger Point,Defiant,na,Primeape
58,Growlithe,Fire,na,55,70,45,70,50,60,350,Intimidate,Flash Fire,Justified,na,Growlithe
58,Growlithe-Hisui,Fire,Rock,60,75,45,65,50,55,350,Intimidate,Flash Fire,Rock Head,na,Growlithe-Hisui
59,Arcanine,Fire,na,90,110,80,100,80,95,555,Intimidate,Flash Fire,Justified,na,Arcanine
59,Arcanine-Hisui,Fire,Rock,95,115,80,95,80,90,555,Intimidate,Flash Fire,Rock Head,na,Arcanine-Hisui
60,Poliwag,Water,na,40,50,40,40,40,90,300,Water Absorb,Damp,Swift Swim,na,Poliwag
61,Poliwhirl,Water,na,65,65,65,50,50,90,385,Water Absorb,Damp,Swift Swim,na,Poliwhirl
62,Poliwrath,Water,Fighting,90,95,95,70,90,70,510,Water Absorb,Damp,Swift Swim,na,Poliwrath
63,Abra,Psychic,na,25,20,15,105,55,90,310,Synchronize,Inner Focus,Magic Guard,na,Abra
64,Kadabra,Psychic,na,40,35,30,120,70,105,400,Synchronize,Inner Focus,Magic Guard,na,Kadabra
65,Alakazam,Psychic,na,55,50,45,135,95,120,500,Synchronize,Inner Focus,Magic Guard,TRUE,Alakazam
65.1,Mega Alakazam,Psychic,na,55,50,65,175,105,150,600,Trace,na,na,na,Alakazam_1
66,Machop,Fighting,na,70,80,50,35,35,35,305,Guts,No Guard,Steadfast,na,Machop
67,Machoke,Fighting,na,80,100,70,50,60,45,405,Guts,No Guard,Steadfast,na,Machoke
68,Machamp,Fighting,na,90,130,80,65,85,55,505,Guts,No Guard,Steadfast,na,Machamp
68,Machamp-Gmax,Fighting,na,90,130,80,65,85,55,505,Guts,No Guard,Steadfast,na,Machamp-Gmax
69,Bellsprout,Grass,Poison,50,75,35,70,30,40,300,Chlorophyll,na,Gluttony,na,Bellsprout
70,Weepinbell,Grass,Poison,65,90,50,85,45,55,390,Chlorophyll,na,Gluttony,na,Weepinbell
71,Victreebel,Grass,Poison,80,105,65,100,70,70,490,Chlorophyll,na,Gluttony,na,Victreebel
72,Tentacool,Water,Poison,40,40,35,50,100,70,335,Clear Body,Liquid Ooze,Rain Dish,na,Tentacool
73,Tentacruel,Water,Poison,80,70,65,80,120,100,515,Clear Body,Liquid Ooze,Rain Dish,na,Tentacruel
74,Geodude,Rock,Ground,40,80,100,30,30,20,300,Rock Head,Sturdy,Sand Veil,na,Geodude
74,Geodude-Alola,Rock,Electric,40,80,100,30,30,20,300,Magnet Pull,Sturdy,Galvanize,na,Geodude-Alola
75,Graveler,Rock,Ground,55,95,115,45,45,35,390,Rock Head,Sturdy,Sand Veil,na,Graveler
75,Graveler-Alola,Rock,Electric,55,95,115,45,45,35,390,Magnet Pull,Sturdy,Galvanize,na,Graveler-Alola
76,Golem,Rock,Ground,80,120,130,55,65,45,495,Rock Head,Sturdy,Sand Veil,na,Golem
76,Golem-Alola,Rock,Electric,80,120,130,55,65,45,495,Magnet Pull,Sturdy,Galvanize,na,Golem-Alola
77,Ponyta,Fire,na,50,85,55,65,65,90,410,Run Away,Flash Fire,Flame Body,na,Ponyta
77,Ponyta-Galar,Psychic,na,50,85,55,65,65,90,410,Run Away,Pastel Veil,Anticipation,na,Ponyta-Galar
78,Rapidash,Fire,na,65,100,70,80,80,105,500,Run Away,Flash Fire,Flame Body,na,Rapidash
78,Rapidash-Galar,Psychic,Fairy,65,100,70,80,80,105,500,Run Away,Pastel Veil,Anticipation,na,Rapidash-Galar
79,Slowpoke,Water,Psychic,90,65,65,40,40,15,315,Oblivious,Own Tempo,Regenerator,na,Slowpoke
79,Slowpoke-Galar,Psychic,na,90,65,65,40,40,15,315,Oblivious,Own Tempo,Regenerator,na,Slowpoke-Galar
80,Slowbro,Water,Psychic,95,75,110,100,80,30,490,Oblivious,Own Tempo,Regenerator,TRUE,Slowbro
80.2,Slowbro-Galar,Poison,Psychic,95,100,95,100,70,30,490,Quick Draw,Own Tempo,Regenerator,na,Slowbro_1
80.1,Mega Slowbro,Water,Psychic,95,75,180,130,80,30,590,Shell Armor,na,na,na,Slowbro_2
81,Magnemite,Electric,Steel,25,35,70,95,55,45,325,Magnet Pull,Sturdy,Analytic,na,Magnemite
82,Magneton,Electric,Steel,50,60,95,120,70,70,465,Magnet Pull,Sturdy,Analytic,na,Magneton
83,Farfetchd,Normal,Flying,52,90,55,58,62,60,377,Keen Eye,Inner Focus,Defiant,na,Farfetchd
83,Farfetchd-Galar,Fighting,na,52,95,55,58,62,55,377,Steadfast,na,Scrappy,na,Farfetchd-Galar
84,Doduo,Normal,Flying,35,85,45,35,35,75,310,Run Away,Early Bird,Tangled Feet,na,Doduo
85,Dodrio,Normal,Flying,60,110,70,60,60,110,470,Run Away,Early Bird,Tangled Feet,na,Dodrio
86,Seel,Water,na,65,45,55,45,70,45,325,Thick Fat,Hydration,Ice Body,na,Seel
87,Dewgong,Water,Ice,90,70,80,70,95,70,475,Thick Fat,Hydration,Ice Body,na,Dewgong
88,Grimer,Poison,na,80,80,50,40,50,25,325,Stench,Sticky Hold,Poison Touch,na,Grimer
88,Grimer-Alola,Poison,Dark,80,80,50,40,50,25,325,Poison Touch,Gluttony,Power of Alchemy,na,Grimer-Alola
89,Muk,Poison,na,105,105,75,65,100,50,500,Stench,Sticky Hold,Poison Touch,na,Muk
89,Muk-Alola,Poison,Dark,105,105,75,65,100,50,500,Poison Touch,Gluttony,Power of Alchemy,na,Muk-Alola
90,Shellder,Water,na,30,65,100,45,25,40,305,Shell Armor,Skill Link,Overcoat,na,Shellder
91,Cloyster,Water,Ice,50,95,180,85,45,70,525,Shell Armor,Skill Link,Overcoat,na,Cloyster
92,Gastly,Ghost,Poison,30,35,30,100,35,80,310,Levitate,na,na,na,Gastly
93,Haunter,Ghost,Poison,45,50,45,115,55,95,405,Levitate,na,na,na,Haunter
94,Gengar,Ghost,Poison,60,65,60,130,75,110,500,Cursed Body,na,na,TRUE,Gengar
94.1,Gengar-Gmax,Ghost,Poison,60,65,60,130,75,110,500,Cursed Body,na,na,na,Gengar_1
94,Mega Gengar,Ghost,Poison,60,65,80,170,95,130,600,Shadow Tag,na,na,na,Mega Gengar
95,Onix,Rock,Ground,35,45,160,30,45,70,385,Rock Head,Sturdy,Weak Armor,na,Onix
96,Drowzee,Psychic,na,60,48,45,43,90,42,328,Insomnia,Forewarn,Inner Focus,na,Drowzee
97,Hypno,Psychic,na,85,73,70,73,115,67,483,Insomnia,Forewarn,Inner Focus,na,Hypno
98,Krabby,Water,na,30,105,90,25,25,50,325,Hyper Cutter,Shell Armor,Sheer Force,na,Krabby
99,Kingler,Water,na,55,130,115,50,50,75,475,Hyper Cutter,Shell Armor,Sheer Force,na,Kingler
99,Kingler-Gmax,Water,na,55,130,115,50,50,75,475,Hyper Cutter,Shell Armor,Sheer Force,na,Kingler-Gmax
100,Voltorb,Electric,na,40,30,50,55,55,100,330,Soundproof,Static,Aftermath,na,Voltorb
100,Voltorb-Hisui,Electric,Grass,40,30,50,55,55,100,330,Soundproof,Static,Aftermath,na,Voltorb-Hisui
101,Electrode,Electric,na,60,50,70,80,80,150,490,Soundproof,Static,Aftermath,na,Electrode
101,Electrode-Hisui,Electric,Grass,60,50,70,80,80,150,490,Soundproof,Static,Aftermath,na,Electrode-Hisui
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40,325,Chlorophyll,na,Harvest,na,Exeggcute
103,Exeggutor,Grass,Psychic,95,95,85,125,75,55,530,Chlorophyll,na,Harvest,na,Exeggutor
103,Exeggutor-Alola,Grass,Dragon,95,105,85,125,75,45,530,Frisk,na,Harvest,na,Exeggutor-Alola
104,Cubone,Ground,na,50,50,95,40,50,35,320,Rock Head,Lightning Rod,Battle Armor,na,Cubone
105,Marowak,Ground,na,60,80,110,50,80,45,425,Rock Head,Lightning Rod,Battle Armor,na,Marowak
105,Marowak-Alola,Fire,Ghost,60,80,110,50,80,45,425,Cursed Body,Lightning Rod,Rock Head,na,Marowak-Alola
106,Hitmonlee,Fighting,na,50,120,53,35,110,87,455,Limber,Reckless,Unburden,na,Hitmonlee
107,Hitmonchan,Fighting,na,50,105,79,35,110,76,455,Keen Eye,Iron Fist,Inner Focus,na,Hitmonchan
108,Lickitung,Normal,na,90,55,75,60,75,30,385,Own Tempo,Oblivious,Cloud Nine,na,Lickitung
109,Koffing,Poison,na,40,65,95,60,45,35,340,Levitate,Neutralizing Gas,Stench,na,Koffing
110,Weezing,Poison,na,65,90,120,85,70,60,490,Levitate,Neutralizing Gas,Stench,na,Weezing
110,Weezing-Galar,Poison,Fairy,65,90,120,85,70,60,490,Levitate,Neutralizing Gas,Misty Surge,na,Weezing-Galar
111,Rhyhorn,Ground,Rock,80,85,95,30,30,25,345,Lightning Rod,Rock Head,Reckless,na,Rhyhorn
112,Rhydon,Ground,Rock,105,130,120,45,45,40,485,Lightning Rod,Rock Head,Reckless,na,Rhydon
113,Chansey,Normal,na,250,5,5,35,105,50,450,Natural Cure,Serene Grace,Healer,na,Chansey
114,Tangela,Grass,na,65,55,115,100,40,60,435,Chlorophyll,Leaf Guard,Regenerator,na,Tangela
115,Kangaskhan,Normal,na,105,95,80,40,80,90,490,Early Bird,Scrappy,Inner Focus,TRUE,Kangaskhan
115.1,Mega Kangaskhan,Normal,na,105,125,100,60,100,100,590,Parental Bond,na,na,na,Kangaskhan_1
116,Horsea,Water,na,30,40,70,70,25,60,295,Swift Swim,Sniper,Damp,na,Horsea
117,Seadra,Water,na,55,65,95,95,45,85,440,Poison Point,Sniper,Damp,na,Seadra
118,Goldeen,Water,na,45,67,60,35,50,63,320,Swift Swim,Water Veil,Lightning Rod,na,Goldeen
119,Seaking,Water,na,80,92,65,65,80,68,450,Swift Swim,Water Veil,Lightning Rod,na,Seaking
120,Staryu,Water,na,30,45,55,70,55,85,340,Illuminate,Natural Cure,Analytic,na,Staryu
121,Starmie,Water,Psychic,60,75,85,100,85,115,520,Illuminate,Natural Cure,Analytic,na,Starmie
122,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,460,Soundproof,Filter,Technician,na,Mr. Mime
122,Mr. Mime-Galar,Ice,Psychic,50,65,65,90,90,100,460,Vital Spirit,Screen Cleaner,Ice Body,na,Mr. Mime-Galar
123,Scyther,Bug,Flying,70,110,80,55,80,105,500,Swarm,Technician,Steadfast,na,Scyther
124,Jynx,Ice,Psychic,65,50,35,115,95,95,455,Oblivious,Forewarn,Dry Skin,na,Jynx
125,Electabuzz,Electric,na,65,83,57,95,85,105,490,Static,na,Vital Spirit,na,Electabuzz
126,Magmar,Fire,na,65,95,57,100,85,93,495,Flame Body,na,Vital Spirit,na,Magmar
127,Pinsir,Bug,na,65,125,100,55,70,85,500,Hyper Cutter,Mold Breaker,Moxie,TRUE,Pinsir
127.1,Mega Pinsir,Bug,Flying,65,155,120,65,90,105,600,Aerilate,na,na,na,Pinsir_1
128,Tauros,Normal,na,75,100,95,40,70,110,490,Intimidate,Anger Point,Sheer Force,na,Tauros
128,Tauros-Paldea,Fighting,na,75,110,105,30,70,100,490,Intimidate,Anger Point,Cud Chew,na,Tauros-Paldea
128,Tauros-Paldea-Aqua,Fighting,Water,75,110,105,30,70,100,490,Intimidate,Anger Point,Cud Chew,na,Tauros-Paldea-Aqua
128,Tauros-Paldea-Blaze,Fighting,Fire,75,110,105,30,70,100,490,Intimidate,Anger Point,Cud Chew,na,Tauros-Paldea-Blaze
129,Magikarp,Water,na,20,10,55,15,20,80,200,Swift Swim,na,Rattled,na,Magikarp
130,Gyarados,Water,Flying,95,125,79,60,100,81,540,Intimidate,na,Moxie,TRUE,Gyarados
130.1,Mega Gyarados,Water,Dark,95,155,109,70,130,81,640,Mold Breaker,na,na,na,Gyarados_1
131,Lapras,Water,Ice,130,85,80,85,95,60,535,Water Absorb,Shell Armor,Hydration,na,Lapras
131,Lapras-Gmax,Water,Ice,130,85,80,85,95,60,535,Water Absorb,Shell Armor,Hydration,na,Lapras-Gmax
132,Ditto,Normal,na,48,48,48,48,48,48,288,Limber,na,Imposter,na,Ditto
133,Eevee,Normal,na,55,55,50,45,65,55,325,Run Away,Adaptability,Anticipation,na,Eevee
133,Eevee-Gmax,Normal,na,55,55,50,45,65,55,325,Run Away,Adaptability,Anticipation,na,Eevee-Gmax
134,Vaporeon,Water,na,130,65,60,110,95,65,525,Water Absorb,na,Hydration,na,Vaporeon
135,Jolteon,Electric,na,65,65,60,110,95,130,525,Volt Absorb,na,Quick Feet,na,Jolteon
136,Flareon,Fire,na,65,130,60,95,110,65,525,Flash Fire,na,Guts,na,Flareon
137,Porygon,Normal,na,65,60,70,85,75,40,395,Trace,Download,Analytic,na,Porygon
138,Omanyte,Rock,Water,35,40,100,90,55,35,355,Swift Swim,Shell Armor,Weak Armor,na,Omanyte
139,Omastar,Rock,Water,70,60,125,115,70,55,495,Swift Swim,Shell Armor,Weak Armor,na,Omastar
140,Kabuto,Rock,Water,30,80,90,55,45,55,355,Swift Swim,Battle Armor,Weak Armor,na,Kabuto
141,Kabutops,Rock,Water,60,115,105,65,70,80,495,Swift Swim,Battle Armor,Weak Armor,na,Kabutops
142,Aerodactyl,Rock,Flying,80,105,65,60,75,130,515,Rock Head,Pressure,Unnerve,TRUE,Aerodactyl
142.1,Mega Aerodactyl,Rock,Flying,80,135,85,70,95,150,615,Tough Claws,na,na,na,Aerodactyl_1
143,Snorlax,Normal,na,160,110,65,65,110,30,540,Immunity,Thick Fat,Gluttony,na,Snorlax
143,Snorlax-Gmax,Normal,na,160,110,65,65,110,30,540,Immunity,Thick Fat,Gluttony,na,Snorlax-Gmax
144,Articuno,Ice,Flying,90,85,100,95,125,85,580,Pressure,na,Snow Cloak,na,Articuno
144,Articuno-Galar,Psychic,Flying,90,85,85,125,100,95,580,Competitive,na,na,na,Articuno-Galar
145,Zapdos,Electric,Flying,90,90,85,125,90,100,580,Pressure,na,Static,na,Zapdos
145,Zapdos-Galar,Fighting,Flying,90,125,90,85,90,100,580,Defiant,na,na,na,Zapdos-Galar
146,Moltres,Fire,Flying,90,100,90,125,85,90,580,Pressure,na,Flame Body,na,Moltres
146,Moltres-Galar,Dark,Flying,90,85,90,100,125,90,580,Berserk,na,na,na,Moltres-Galar
147,Dratini,Dragon,na,41,64,45,50,50,50,300,Shed Skin,na,Marvel Scale,na,Dratini
148,Dragonair,Dragon,na,61,84,65,70,70,70,420,Shed Skin,na,Marvel Scale,na,Dragonair
149,Dragonite,Dragon,Flying,91,134,95,100,100,80,600,Inner Focus,na,Multiscale,na,Dragonite
150,Mewtwo,Psychic,na,106,110,90,154,90,130,680,Pressure,na,Unnerve,TRUE,Mewtwo
150.1,Mega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,780,Steadfast,na,na,na,Mewtwo_1
150.2,Mega Mewtwo Y,Psychic,na,106,150,70,194,120,140,780,Insomnia,na,na,na,Mega Mewtwo Y
151,Mew,Psychic,na,100,100,100,100,100,100,600,Synchronize,na,na,na,Mew
152,Chikorita,Grass,na,45,49,65,49,65,45,318,Overgrow,na,Leaf Guard,na,Chikorita
153,Bayleef,Grass,na,60,62,80,63,80,60,405,Overgrow,na,Leaf Guard,na,Bayleef
154,Meganium,Grass,na,80,82,100,83,100,80,525,Overgrow,na,Leaf Guard,na,Meganium
155,Cyndaquil,Fire,na,39,52,43,60,50,65,309,Blaze,na,Flash Fire,na,Cyndaquil
156,Quilava,Fire,na,58,64,58,80,65,80,405,Blaze,na,Flash Fire,na,Quilava
157,Typhlosion,Fire,na,78,84,78,109,85,100,534,Blaze,na,Flash Fire,na,Typhlosion
157,Typhlosion-Hisui,Fire,Ghost,73,84,78,119,85,95,534,Blaze,na,Frisk,na,Typhlosion-Hisui
158,Totodile,Water,na,50,65,64,44,48,43,314,Torrent,na,Sheer Force,na,Totodile
159,Croconaw,Water,na,65,80,80,59,63,58,405,Torrent,na,Sheer Force,na,Croconaw
160,Feraligatr,Water,na,85,105,100,79,83,78,530,Torrent,na,Sheer Force,na,Feraligatr
161,Sentret,Normal,na,35,46,34,35,45,20,215,Run Away,Keen Eye,Frisk,na,Sentret
162,Furret,Normal,na,85,76,64,45,55,90,415,Run Away,Keen Eye,Frisk,na,Furret
163,Hoothoot,Normal,Flying,60,30,30,36,56,50,262,Insomnia,Keen Eye,Tinted Lens,na,Hoothoot
164,Noctowl,Normal,Flying,100,50,50,86,96,70,452,Insomnia,Keen Eye,Tinted Lens,na,Noctowl
165,Ledyba,Bug,Flying,40,20,30,40,80,55,265,Swarm,Early Bird,Rattled,na,Ledyba
166,Ledian,Bug,Flying,55,35,50,55,110,85,390,Swarm,Early Bird,Iron Fist,na,Ledian
167,Spinarak,Bug,Poison,40,60,40,40,40,30,250,Swarm,Insomnia,Sniper,na,Spinarak
168,Ariados,Bug,Poison,70,90,70,60,70,40,400,Swarm,Insomnia,Sniper,na,Ariados
169,Crobat,Poison,Flying,85,90,80,70,80,130,535,Inner Focus,na,Infiltrator,na,Crobat
170,Chinchou,Water,Electric,75,38,38,56,56,67,330,Volt Absorb,Illuminate,Water Absorb,na,Chinchou
171,Lanturn,Water,Electric,125,58,58,76,76,67,460,Volt Absorb,Illuminate,Water Absorb,na,Lanturn
172,Pichu,Electric,na,20,40,15,35,35,60,205,Static,na,Lightning Rod,na,Pichu
173,Cleffa,Fairy,na,50,25,28,45,55,15,218,Cute Charm,Magic Guard,Friend Guard,na,Cleffa
174,Igglybuff,Normal,Fairy,90,30,15,40,20,15,210,Cute Charm,Competitive,Friend Guard,na,Igglybuff
175,Togepi,Fairy,na,35,20,65,40,65,20,245,Hustle,Serene Grace,Super Luck,na,Togepi
176,Togetic,Fairy,Flying,55,40,85,80,105,40,405,Hustle,Serene Grace,Super Luck,na,Togetic
177,Natu,Psychic,Flying,40,50,45,70,45,70,320,Synchronize,Early Bird,Magic Bounce,na,Natu
178,Xatu,Psychic,Flying,65,75,70,95,70,95,470,Synchronize,Early Bird,Magic Bounce,na,Xatu
179,Mareep,Electric,na,55,40,40,65,45,35,280,Static,na,Plus,na,Mareep
180,Flaaffy,Electric,na,70,55,55,80,60,45,365,Static,na,Plus,na,Flaaffy
181,Ampharos,Electric,na,90,75,85,115,90,55,510,Static,na,Plus,TRUE,Ampharos
181.1,Mega Ampharos,Electric,Dragon,90,95,105,165,110,45,610,Mold Breaker,na,na,na,Ampharos_1
182,Bellossom,Grass,na,75,80,95,90,100,50,490,Chlorophyll,na,Healer,na,Bellossom
183,Marill,Water,Fairy,70,20,50,20,50,40,250,Thick Fat,Huge Power,Sap Sipper,na,Marill
